x;y
18,8627543;95,86218518
13,48448969;2,564116829
16,9644268;56,3253747
1,252664396;5,779202151
27,26146888;357,2656523
4,659987507;-25,18432904
5,558576297;-29,48087401
27,85961819;381,2640526
22,01124197;177,3261436
1,537295326;2,303847032
8,027083651;-32,97218282
16,87857797;54,70772475
17,31833116;63,14962677
18,65923539;91,27853444
9,573206565;-28,95181454
2,061187975;-3,669323755
20,36473579;132,251427
1,958654914;-2,543494634
29,79222477;463,6932851
9,708195955;-28,37387062
1,089966218;7,838533081
6,12269314;-31,35302581
18,39628424;85,47901015
25,41572248;287,723112
19,46610056;109,9375625
15,23735286;26,61662923
24,10864232;242,5969996
4,069728471;-21,48323724
25,61759433;294,9972244
9,471157154;-29,36453947
18,3430743;84,32226018
18,80983407;94,66234671
14,29102196;12,86797924
7,419250909;-33,24347958
29,42739802;447,5607839
2,027694253;-3,303869811
12,05471396;-12,50458076
0,085113907;21,73053577
5,928153889;-30,7792998
25,28891602;283,195533
5,989882687;-30,9695457
28,56639686;410,5430765
28,18635426;394,6752525
5,038381797;-27,19043582
27,60734159;371,0551859
18,96138162;98,11326864
17,13209788;59,52730951
16,63818516;50,25642802
13,7356658;5,633527987
3,753984951;-19,21737125
11,24679276;-19,21154398
25,32488943;284,4766832
6,828352262;-32,79888932
6,1078532;-31,31192729
5,75124224;-30,1918463
11,30547909;-18,76832886
16,09982581;40,70700393
6,836670048;-32,80999337
0,040291176;22,39725574
19,40762044;108,5414246
23,42569269;220,3776876
14,95086583;22,26540159
13,56526257;3,537409987
13,4182228;1,775361077
14,9334608;22,00633953
13,47140536;2,407681925
29,47919033;449,8348077
14,31011094;13,12761103
18,90657565;96,85996815
13,31948896;0,616451738
16,899435;55,09937836
6,366644495;-31,9655053
17,25653488;61,93997294
21,42219459;160,5775023
3,925326356;-20,47170834
15,27559526;27,20988157
3,83091276;-19,78779883
7,41873401;-33,24339584
11,40329946;-18,01425331
27,82920716;380,0266639
8,812495534;-31,52735547
1,725335535;0,096749681
14,0448223;9,584698914
28,34752055;401,3691132
17,10710191;59,04640715
17,51400371;67,03027027
10,27531605;-25,54762081
28,35663477;401,7492138
17,76392935;72,09824562
20,39570822;133,0492904
1,171496648;6,799954673
1,255115712;5,748579766
15,02207368;23,33159239
16,98234615;56,6648886
22,62551471;195,5311952
